,NameSpe,Price,OldP,Discount,RatNo,oldP
119,"Vonex A5605 , Camera, FM Radio, Dual Sim, Battery 1800mAH With Strong Torch+facebook","KSh 1,050","KSh 1,500",30%,3.8 out of 5(45),
120,"X Tigi V7 Pro, 2.8"", 8GB +1GB, 2MP Camera, (Dual SIM) - Gold","KSh 3,599","KSh 5,999",40%,4.1 out of 5(8),
121,"Itel 5081-Triple SIM CARD ,2.40''Opera Mini - Blue","KSh 1,298","KSh 2,499",48%,4.7 out of 5(7),
122,"Tecno Pop4, 32+2GB,  6.0"" 3G(Dual Sim), 5000MAh  Dawn Blue","KSh 8,840","KSh 10,000",12%,4.2 out of 5(6),
123,"Samsung Galaxy A60, 6.3"", 6GB RAM + 128GB (Dual SIM), Black","KSh 24,290","KSh 30,000",19%,4.3 out of 5(7),
124,"Nokia 105 4th Edition, 1.77"", 4 MB RAM + 4 MB ROM, (Dual SIM) (2019) -  Black","KSh 1,639","KSh 3,000",45%,4.3 out of 5(135),
125,"Itel A56 5.99"", 8MP+5MP , 4000mAh, Fingerprint & Face ID , + Free  Headset & OTG ","KSh 7,098","KSh 10,999",35%,4.4 out of 5(5),
126,"Tecno Camon 15, 6.6"", 64GB + 4GB (Dual SIM), 48M AI Quad Camera - Purple","KSh 15,350","KSh 15,380",1%,4.8 out of 5(28),
127,"Ulefone Note 9P, 6.52"", 4 GB + 64 GB (Dual SIM) - Aurora Blue","KSh 11,499","KSh 11,999",4%,4.3 out of 5(15),
128,"Samsung Galaxy A31 - 6.4"" - 128GB + 4GB - Dual SIM - Prism Crush Black","KSh 23,060","KSh 31,000",26%,4.8 out of 5(15),
129,"Itel A36 5.5'' HD, 8MP+5MP ,1GB - 16GB 3020mAh +Free OTG Cable Black","KSh 6,255","KSh 9,999",37%,4.2 out of 5(5),
130,"Oppo A93, 6.4"", 128GB + 8GB RAM (Dual SIM), Matte Black + Free OPPO Bluetooth Speaker","KSh 30,999",,,,
131,XIAOMI Redmi 9 6.53 Inch 4GB 64GB 13.0MP Camera 4G LTE Smartphone - Purple,"KSh 14,699","KSh 14,999",2%,4.7 out of 5(49),
